9.02,9.03,43.37
6.08,3.52,25.89
2.3,5.15,17.76
8.15,3.83,34.05
7.61,5.0,34.66
8.97,8.61,43.85
8.27,6.45,36.88
2.96,3.83,16.79
4.9,5.94,26.56
4.92,6.16,25.98
5.59,9.63,34.81
5.57,8.87,33.91
9.46,5.15,39.98
6.67,9.83,38.81
5.47,4.29,24.4
4.0,2.15,15.84
2.59,8.06,22.19
3.09,9.27,28.72
5.58,6.8,30.74
6.97,4.64,28.88
6.7,9.93,39.06
6.44,3.67,27.35
8.74,9.46,43.59
7.96,3.15,28.68
7.12,2.54,27.36
5.4,8.74,35.34
1.11,6.82,18.13
2.49,4.91,15.9
1.37,7.69,19.47
8.36,2.38,30.81
8.39,3.42,33.46
8.14,5.51,35.92
1.97,1.95,11.09
3.1,2.02,14.11
3.57,9.72,30.76
3.61,8.96,30.09
2.55,8.99,25.81
5.03,3.78,21.27
2.93,5.82,21.75
7.11,5.05,31.68
1.97,9.33,23.32
1.91,8.86,21.72
7.34,3.9,28.43
4.65,2.13,20.1
3.08,8.0,26.02
3.19,1.86,13.91
2.89,4.13,17.0
1.55,2.12,9.24
4.44,4.87,21.62
1.71,8.31,22.83
1.02,8.16,17.75
4.89,4.3,21.65
4.3,5.74,23.36
9.77,1.89,32.38
4.6,6.15,27.24
1.24,3.5,9.99
5.35,2.76,21.07
9.26,5.06,36.91
6.5,5.65,32.17
1.91,4.06,13.61
9.31,2.61,32.74
2.18,4.86,15.73
1.85,7.39,19.88
2.17,2.95,12.34
6.11,1.88,23.4
2.15,7.09,20.84
5.8,3.63,23.21
6.43,4.07,25.65
6.69,2.07,25.42
6.97,9.71,38.91
9.05,8.98,45.19
2.99,6.43,21.52
9.46,7.57,44.36
6.11,3.8,26.9
5.77,9.9,38.67
4.25,1.59,17.07
9.78,5.62,40.58
1.18,6.01,15.88
5.7,6.83,29.88
2.29,6.94,21.85
7.59,5.27,33.56
5.62,2.89,21.25
9.72,5.1,38.32
7.74,1.16,23.57
3.16,9.37,28.51
5.89,7.14,31.61
8.44,8.17,43.06
3.17,8.46,26.47
5.0,4.19,21.45
2.52,9.09,25.57
9.33,6.87,42.22
5.99,4.22,25.12
2.38,1.45,12.01
5.52,5.96,28.53
4.62,2.24,19.01
2.71,6.49,20.0
5.67,8.17,32.32
9.48,1.33,33.06
1.93,4.16,12.68
9.77,9.16,47.96
